institutioncode,institution,collectioncode,catalognumber,recordnumber,scientificname,kingdom,phylum,class,order,family,clade,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex
UWBM,University of Washington Burke Museum,Bird,77748,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81121,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,81143,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,species,,Berylline Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81176,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,,,Xantus's Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,81204,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,81300,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,81330,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81337,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81340,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,81364,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,,,Xantus's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81366,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,,,Xantus's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81375,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,,,Xantus's Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,81422,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,81427,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,undetermined
UWBM,University of Washington Burke Museum,Bird,81434,,Amazilia rutila,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,rutila,,species,,Cinnamon Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82347,,Basilinna xantusii,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Basilinna,,xantusii,,,,Xantus's Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82377,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,,,Violet-crowned Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82406,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,,,Broad-billed Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82442,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,,,Berylline Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82444,,Amazilia violiceps,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,violiceps,,,,Violet-crowned Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82488,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,,,Berylline Hummingbird,male
UWBM,University of Washington Burke Museum,Bird,82492,,Amazilia beryllina,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Amazilia,,beryllina,,,,Berylline Hummingbird,female
UWBM,University of Washington Burke Museum,Bird,82499,,Cynanthus latirostris,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Emeralds,Cynanthus,,latirostris,,species,,Broad-billed Hummingbird,female
