UWBM,Bird,56007,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56042,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,55996,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56012,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56013,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56016,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56027,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,56032,,Amazilia tzacatl,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,Rufous-tailed Hummingbird,male,present,round/wing | tissue,
CM,Birds,S10069,DSW 4233,Amazilia tzacatl,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,,male,present,skeleton | wing,
CM,Birds,S10136,DSW 4333,Amazilia tzacatl,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,,male,present,skeleton | wing,
CM,Birds,S10148,DSW 4347,Amazilia tzacatl,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,,female,present,skeleton | wing,
CM,Birds,S9140,DSW 3939,Amazilia tzacatl,,Apodiformes | Trochilidae |  | AMAZILIA,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,tzacatl,,species,,,male,present,skeleton | wing,
UAM,Bird specimens,UAM:Bird:22693,,Amazilia tzacatl tzacatl,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Amazilia,,tzacatl,tzacatl,subspecies,,,undetermined,,tissue (frozen); stomach; wing; skeleton,
UWBM,Bird,82377,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82747,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,82749,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82755,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,83954,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,84007,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81337,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,82444,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,83941,,Amazilia violiceps,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Amazilia,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,,violiceps,,species,,Violet-crowned Hummingbird,female,present,round/wing | tissue,
