YPM,VZ,YPM ORN 141932,,Rhodopis vesper vesper,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Rhodopis,,vesper,vesper,Subspecies,,Oasis Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142239,,Rhodopis vesper vesper,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Rhodopis,,vesper,vesper,Subspecies,,Oasis Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 142238,,Rhodopis vesper vesper,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Rhodopis,,vesper,vesper,Subspecies,,Oasis Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
institutioncode,collectioncode,catalognumber,recordnumber,scientificname,acceptednameusage,higherclassification,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,taxonrank,verbatimtaxonrank,vernacularname,sex,occurrencestatus,preparations,disposition
CRCM,Birds,93-681,,Selasphorus calliope,,Aves | Apodiformes | Trochilidae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,calliope,,species,,Calliope Hummingbird,male,present,skin (round) | one wing,
MVZ,Bird specimens,MVZ:Bird:183703,190,Selasphorus calliope,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,calliope,,species,,,male,,"tissue (frozen); wing, spread (dry); skin, study",
UBCBBM,CTC,B014754,,Selasphorus calliope,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,calliope,,species,,Calliope Hummingbird,male,present,skeleton; wing,in collection
LSUMZ,Birds,154142,,Selasphorus flammula,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,flammula,,species,,,,present,Skeleton & Spread Wing,
YPM,VZ,YPM ORN 141944,,Selasphorus flammula torridus,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,flammula,torridus,Subspecies,,Volcano Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 141904,,Selasphorus flammula torridus,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,flammula,torridus,Subspecies,,Volcano Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,female,,"skin, round; wing; tissue frozen",
YPM,VZ,YPM ORN 141941,,Selasphorus flammula torridus,,Animalia; Chordata; Vertebrata; Amniota; Aves; Neornithes; Neognathae; Apodiformes; Trochilidae; Trochilinae,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,flammula,torridus,Subspecies,,Volcano Hummingbird; Hummingbirds; Birds; vertebrates; chordates; animals,male,,"skin, round; wing; tissue frozen",
MSB,Bird specimens,MSB:Bird:44457,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,undetermined,,"heart, liver, muscle (frozen); tail; heart, muscle (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46449,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); blood (flash-frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46454,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46457,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); liver (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46458,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46459,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46460,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); heart, liver, muscle (frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46462,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); kidney (frozen); eye (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46463,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); blood (flash-frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MVZ,Bird specimens,MVZ:Bird:183559,214,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"tissue (frozen); tissue (frozen); tissue (frozen) sample; wing, spread (dry); skin, study",
UWBM,Bird,48374,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,undetermined,present,round skin | wing,
MSB,Bird specimens,MSB:Bird:46448,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); blood (flash-frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46450,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); kidney (frozen); eye (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46451,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); wing, spread (dry); blood (flash-frozen); kidney (frozen); heart, liver, muscle (frozen); eye (frozen)",
MSB,Bird specimens,MSB:Bird:46452,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); blood (flash-frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46453,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); kidney (frozen); eye (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46461,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); kidney (frozen); eye (frozen); wing, spread (dry)",
MSB,Bird specimens,MSB:Bird:46464,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"heart, liver, muscle (frozen); lung (frozen); blood (flash-frozen); eye (frozen); kidney (frozen); wing, spread (dry)",
UWBM,Bird,76115,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,female,present,round/wing | tissue,
UCM,Bird specimens,UCM:Bird:16210,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,male,,"tissue (frozen); tissue (frozen); tissue (frozen); skeleton; wing, spread (dry)",
UTEP,Bird specimens,UTEP:Bird:2489,,Selasphorus platycercus,,Animalia; Chordata; Aves; Caprimulgiformes; Trochilidae; Trochilinae;,Animalia,Chordata,Aves,Caprimulgiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,,skeleton; wing; tail,
UWBM,Bird,116384,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,116404,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,116434,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male,present,wing | tissue,
UAZ,Ornithology,UAz-013130,None,Selasphorus platycercus,,| Apodiformes |  | Trochilidae | Trochilinae | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male,present,Skin + 1 Wing + Partial Skeleton,
UWBM,Bird,116348,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,116383,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,116386,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,116394,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,116395,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,116675,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,Broad-tailed Hummingbird,female,present,round/wing | tissue,
CUMV,Bird,48258,,Selasphorus platycercus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,in question,present,spread wing; tail (dry),
LSUMZ,Birds,152993,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,165569,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,165686,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,165687,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,154984,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,165570,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
LSUMZ,Birds,165571,,Selasphorus platycercus,,|  |  |  |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,platycercus,,species,,,,present,Skeleton & Spread Wing,
UWBM,Bird,36727,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,skeleton | wing,
UWBM,Bird,38766,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,skeleton | wing,
UWBM,Bird,43057,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round skin | wing,
UWBM,Bird,54058,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,54064,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,64429,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,64552,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,72972,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,79407,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,79655,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,80540,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81100,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,81584,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,81728,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,84302,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,wing | tissue,
UWBM,Bird,85416,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round skin | wing,
UWBM,Bird,86001,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,86027,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,86050,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,86064,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,87367,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,88860,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,88861,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,88870,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,89535,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,90016,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round skin | wing,
UWBM,Bird,90056,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,54059,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round skin | wing,
UWBM,Bird,59382,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round skin | wing,
UWBM,Bird,62641,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,wing | tissue,
UWBM,Bird,72971,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,72973,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,73960,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round skin | wing,
UWBM,Bird,80021,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,80212,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,80276,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,84195,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,wing | tissue,
UWBM,Bird,84224,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,wing | tissue,
UWBM,Bird,84248,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,wing | tissue,
UWBM,Bird,85964,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,85965,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round/wing | tissue,
UWBM,Bird,86002,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,86212,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round/wing | tissue,
UWBM,Bird,86233,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,round/wing | tissue,
UWBM,Bird,86423,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,female,present,round skin | wing,
UWBM,Bird,86437,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,round skin | wing,
UWBM,Bird,88651,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,male,present,wing | tissue,
UWBM,Bird,88652,,Selasphorus rufus,,Animalia | Chordata | Aves | Apodiformes | Trochilidae |  | Selasphorus,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,,rufus,,species,,Rufous Hummingbird,undetermined,present,wing | tissue,
